image_name,gap_id,gap_index,orientation,sample_id,distance_mm,used_in_trimmed_mean,point_a_x_px,point_a_y_px,point_b_x_px,point_b_y_px
Multimedia_34.jpg,0,0,vertical,1,10.380950564402156,True,174.61904943559784,106.33333587646484,185.0,106.33333587646484
Multimedia_34.jpg,0,0,vertical,2,9.0,True,175.00001525878906,126.66667175292969,184.00001525878906,126.66667175292969
Multimedia_34.jpg,0,0,vertical,3,7.8571319580078125,True,175.00001525878906,147.0,182.85714721679688,147.0
Multimedia_34.jpg,0,0,vertical,4,6.523807344026864,True,175.00001525878906,167.33334350585938,181.52382260281593,167.33334350585938
Multimedia_34.jpg,0,0,vertical,5,5.0000152587890625,True,175.00001525878906,187.6666717529297,180.00003051757812,187.6666717529297
Multimedia_34.jpg,0,0,vertical,6,3.9999847412109375,True,175.00001525878906,208.0,179.0,208.0
Multimedia_34.jpg,0,0,vertical,7,3.9523656936362386,True,174.04763430636376,228.33334350585938,178.0,228.33334350585938
Multimedia_34.jpg,0,0,vertical,8,2.0,True,176.0,248.6666717529297,178.0,248.6666717529297
Multimedia_34.jpg,0,0,vertical,9,0.8571319580078125,False,176.57144165039062,269.0,177.42857360839844,269.0
Multimedia_34.jpg,1,1,vertical,0,0.857147216796875,False,164.57144165039062,531.0,165.4285888671875,531.0
Multimedia_34.jpg,1,1,vertical,1,3.4285736083984375,True,164.238101051189,547.6666870117188,167.66667465958744,547.6666870117188
Multimedia_34.jpg,1,1,vertical,2,4.761909121647477,True,165.0,564.3333129882812,169.76190912164748,564.3333129882812
Multimedia_34.jpg,1,1,vertical,3,6.0,True,165.0,581.0,171.0,581.0
Multimedia_34.jpg,1,1,vertical,4,7.0,True,164.0,597.6666870117188,171.0,597.6666870117188
Multimedia_34.jpg,1,1,vertical,5,7.761893862858415,True,164.0,614.3333129882812,171.76189386285841,614.3333129882812
Multimedia_34.jpg,1,1,vertical,6,9.285720825195312,True,163.42857360839844,631.0,172.71429443359375,631.0
Multimedia_34.jpg,1,1,vertical,7,10.238106137141585,True,164.0,647.6666870117188,174.23810613714159,647.6666870117188
Multimedia_34.jpg,1,1,vertical,8,11.000015258789062,True,164.0,664.3333129882812,175.00001525878906,664.3333129882812
Multimedia_34.jpg,1,1,vertical,9,11.857147216796875,False,164.57142639160156,681.0,176.42857360839844,681.0
Multimedia_35.jpg,0,0,horizontal,0,13.85711669921875,False,130.0,596.5714721679688,130.0,610.4285888671875
Multimedia_35.jpg,0,0,horizontal,1,13.00006103515625,True,157.22222900390625,596.0,157.22222900390625,609.0000610351562
Multimedia_35.jpg,0,0,horizontal,2,12.0,True,184.44444274902344,596.0,184.44444274902344,608.0
Multimedia_35.jpg,0,0,horizontal,3,11.0,True,211.66665649414062,596.0,211.66665649414062,607.0
Multimedia_35.jpg,0,0,horizontal,4,11.0,True,238.88888549804688,595.0,238.88888549804688,606.0
Multimedia_35.jpg,0,0,horizontal,5,11.0,True,266.1111145019531,595.0,266.1111145019531,606.0
Multimedia_35.jpg,0,0,horizontal,6,8.42862955853343,True,293.33331298828125,594.9523954838514,293.33331298828125,603.3810250423849
Multimedia_35.jpg,0,0,horizontal,7,8.206422835588455,False,320.5555419921875,593.0,320.5555419921875,601.2064228355885
Multimedia_35.jpg,0,0,horizontal,8,8.539610847830772,True,347.77777099609375,591.4603891521692,347.77777099609375,600.0
Multimedia_35.jpg,0,0,horizontal,9,9.857177734375,True,375.0,589.5714111328125,375.0,599.4285888671875
Multimedia_35.jpg,1,1,horizontal,0,20.0,False,476.0,596.0,476.0,616.0
Multimedia_35.jpg,1,1,horizontal,1,9.0,True,502.3333435058594,604.0,502.3333435058594,613.0
Multimedia_35.jpg,1,1,horizontal,2,8.380923315882683,False,528.6666870117188,602.6190766841173,528.6666870117188,611.0
Multimedia_35.jpg,1,1,horizontal,3,9.00006103515625,True,555.0,600.0,555.0,609.0000610351562
Multimedia_35.jpg,1,1,horizontal,4,10.047604516148567,True,581.3333129882812,596.9523954838514,581.3333129882812,607.0
Multimedia_35.jpg,1,1,horizontal,5,11.952375140041113,True,607.6666870117188,594.0476248599589,607.6666870117188,606.0
Multimedia_35.jpg,1,1,horizontal,6,12.0,True,634.0,594.0,634.0,606.0
Multimedia_35.jpg,1,1,horizontal,7,12.190516881644726,True,660.3333740234375,592.8095441535115,660.3333740234375,605.0000610351562
Multimedia_35.jpg,1,1,horizontal,8,12.0,True,686.6666870117188,591.0000610351562,686.6666870117188,603.0000610351562
Multimedia_35.jpg,1,1,horizontal,9,12.857177734375,True,713.0,588.5714111328125,713.0,601.4285888671875
Multimedia_36.jpg,0,0,horizontal,0,13.85711669921875,False,130.0,596.5714721679688,130.0,610.4285888671875
Multimedia_36.jpg,0,0,horizontal,1,13.00006103515625,True,157.22222900390625,596.0,157.22222900390625,609.0000610351562
Multimedia_36.jpg,0,0,horizontal,2,12.0,True,184.44444274902344,596.0,184.44444274902344,608.0
Multimedia_36.jpg,0,0,horizontal,3,11.0,True,211.66665649414062,596.0,211.66665649414062,607.0
Multimedia_36.jpg,0,0,horizontal,4,11.0,True,238.88888549804688,595.0,238.88888549804688,606.0
Multimedia_36.jpg,0,0,horizontal,5,11.0,True,266.1111145019531,595.0,266.1111145019531,606.0
Multimedia_36.jpg,0,0,horizontal,6,8.42862955853343,True,293.33331298828125,594.9523954838514,293.33331298828125,603.3810250423849
Multimedia_36.jpg,0,0,horizontal,7,8.206422835588455,False,320.5555419921875,593.0,320.5555419921875,601.2064228355885
Multimedia_36.jpg,0,0,horizontal,8,8.539610847830772,True,347.77777099609375,591.4603891521692,347.77777099609375,600.0
Multimedia_36.jpg,0,0,horizontal,9,9.857177734375,True,375.0,589.5714111328125,375.0,599.4285888671875
Multimedia_36.jpg,1,1,horizontal,0,20.0,False,476.0,596.0,476.0,616.0
Multimedia_36.jpg,1,1,horizontal,1,9.0,True,502.3333435058594,604.0,502.3333435058594,613.0
Multimedia_36.jpg,1,1,horizontal,2,8.380923315882683,False,528.6666870117188,602.6190766841173,528.6666870117188,611.0
Multimedia_36.jpg,1,1,horizontal,3,9.00006103515625,True,555.0,600.0,555.0,609.0000610351562
Multimedia_36.jpg,1,1,horizontal,4,10.047604516148567,True,581.3333129882812,596.9523954838514,581.3333129882812,607.0
Multimedia_36.jpg,1,1,horizontal,5,11.952375140041113,True,607.6666870117188,594.0476248599589,607.6666870117188,606.0
Multimedia_36.jpg,1,1,horizontal,6,12.0,True,634.0,594.0,634.0,606.0
Multimedia_36.jpg,1,1,horizontal,7,12.190516881644726,True,660.3333740234375,592.8095441535115,660.3333740234375,605.0000610351562
Multimedia_36.jpg,1,1,horizontal,8,12.0,True,686.6666870117188,591.0000610351562,686.6666870117188,603.0000610351562
Multimedia_36.jpg,1,1,horizontal,9,12.857177734375,True,713.0,588.5714111328125,713.0,601.4285888671875
Multimedia_37.jpg,0,0,horizontal,0,11.85723876953125,False,123.0,606.5714111328125,123.0,618.4286499023438
Multimedia_37.jpg,0,0,horizontal,1,10.317505851387978,True,148.77777099609375,606.0,148.77777099609375,616.317505851388
Multimedia_37.jpg,0,0,horizontal,2,8.99993896484375,True,174.55555725097656,605.0000610351562,174.55555725097656,614.0
Multimedia_37.jpg,0,0,horizontal,3,8.666726248338819,True,200.33334350585938,604.0,200.33334350585938,612.6667262483388
Multimedia_37.jpg,0,0,horizontal,4,7.99993896484375,True,226.11111450195312,603.0000610351562,226.11111450195312,611.0
Multimedia_37.jpg,0,0,horizontal,5,8.0,True,251.88888549804688,602.0000610351562,251.88888549804688,610.0000610351562
Multimedia_37.jpg,0,0,horizontal,6,6.095217749476433,True,277.66668701171875,600.9047822505236,277.66668701171875,607.0
Multimedia_37.jpg,0,0,horizontal,7,6.222138904035091,True,303.4444580078125,598.0000610351562,303.4444580078125,604.2221999391913
Multimedia_37.jpg,0,0,horizontal,8,6.00006103515625,False,329.22222900390625,596.0,329.22222900390625,602.0000610351562
Multimedia_37.jpg,0,0,horizontal,9,7.7142333984375,True,355.0,593.71435546875,355.0,601.4285888671875
Multimedia_37.jpg,1,1,horizontal,0,13.2857666015625,False,452.0,598.1428833007812,452.0,611.4286499023438
Multimedia_37.jpg,1,1,horizontal,1,6.301575191318989,False,476.8888854980469,603.0000610351562,476.8888854980469,609.3016362264752
Multimedia_37.jpg,1,1,horizontal,2,6.539658319205046,True,501.77777099609375,600.460341680795,501.77777099609375,607.0
Multimedia_37.jpg,1,1,horizontal,3,7.0,True,526.6666870117188,597.0476045161486,526.6666870117188,604.0476045161486
Multimedia_37.jpg,1,1,horizontal,4,8.285732693970203,True,551.5555419921875,593.2063889279962,551.5555419921875,601.4921216219664
Multimedia_37.jpg,1,1,horizontal,5,9.365083239972591,True,576.4444580078125,590.0,576.4444580078125,599.3650832399726
Multimedia_37.jpg,1,1,horizontal,6,9.190516881644726,True,601.3333740234375,588.8095441535115,601.3333740234375,598.0000610351562
Multimedia_37.jpg,1,1,horizontal,7,10.460328117012978,True,626.2222290039062,586.0793912373483,626.2222290039062,596.5397193543613
Multimedia_37.jpg,1,1,horizontal,8,11.0,True,651.111083984375,583.0,651.111083984375,594.0
Multimedia_37.jpg,1,1,horizontal,9,11.857177734375,True,676.0,580.5714111328125,676.0,592.4285888671875
Multimedia_39.jpg,0,0,vertical,0,12.857131958007812,False,217.57144165039062,107.0,230.42857360839844,107.0
Multimedia_39.jpg,0,0,vertical,1,12.000015258789062,True,218.0,132.6666717529297,230.00001525878906,132.6666717529297
Multimedia_39.jpg,0,0,vertical,2,10.52380952378735,True,218.0,158.3333282470703,228.52380952378735,158.3333282470703
Multimedia_39.jpg,0,0,vertical,3,9.000015258789062,True,218.0,184.0,227.00001525878906,184.0
Multimedia_39.jpg,0,0,vertical,4,9.000015258789062,True,217.00001525878906,209.66665649414062,226.00003051757812,209.66665649414062
Multimedia_39.jpg,0,0,vertical,5,7.952350434847176,True,216.04764956515282,235.3333282470703,224.0,235.3333282470703
Multimedia_39.jpg,0,0,vertical,6,8.285690307617188,True,216.00001525878906,261.0,224.28570556640625,261.0
Multimedia_39.jpg,0,0,vertical,7,6.9999847412109375,False,217.00001525878906,286.6666564941406,224.0,286.6666564941406
Multimedia_39.jpg,0,0,vertical,8,7.333304995670915,True,217.00001525878906,312.33331298828125,224.33332025445998,312.33331298828125
Multimedia_39.jpg,0,0,vertical,9,8.714279174804688,True,216.57142639160156,338.0,225.28570556640625,338.0
Multimedia_39.jpg,1,1,vertical,0,12.4285888671875,False,221.57142639160156,435.0,234.00001525878906,435.0
Multimedia_39.jpg,1,1,vertical,1,2.999969482421875,False,222.00003051757812,460.3333435058594,225.0,460.3333435058594
Multimedia_39.jpg,1,1,vertical,2,3.1904870895668864,True,222.80954342801124,485.6666564941406,226.00003051757812,485.6666564941406
Multimedia_39.jpg,1,1,vertical,3,4.9999847412109375,True,223.00001525878906,511.0,228.0,511.0
Multimedia_39.jpg,1,1,vertical,4,5.190482730045915,True,225.0,536.3333129882812,230.19048273004591,536.3333129882812
Multimedia_39.jpg,1,1,vertical,5,7.0,True,225.0,561.6666870117188,232.0,561.6666870117188
Multimedia_39.jpg,1,1,vertical,6,7.0,True,225.0,587.0,232.0,587.0
Multimedia_39.jpg,1,1,vertical,7,7.333364577963948,True,225.0,612.3333740234375,232.33336457796395,612.3333740234375
Multimedia_39.jpg,1,1,vertical,8,9.000015258789062,True,225.0,637.6666870117188,234.00001525878906,637.6666870117188
Multimedia_39.jpg,1,1,vertical,9,8.857131958007812,True,226.57144165039062,663.0,235.42857360839844,663.0
Multimedia_40.jpg,0,0,vertical,0,13.71429443359375,False,221.57142639160156,111.0,235.2857208251953,111.0
Multimedia_40.jpg,0,0,vertical,1,11.999984741210938,True,222.00003051757812,137.0,234.00001525878906,137.0
Multimedia_40.jpg,0,0,vertical,2,11.0,True,222.00003051757812,163.0,233.00003051757812,163.0
Multimedia_40.jpg,0,0,vertical,3,11.0,True,221.0,189.0,232.0,189.0
Multimedia_40.jpg,0,0,vertical,4,10.999984741210938,True,220.00001525878906,215.0,231.0,215.0
Multimedia_40.jpg,0,0,vertical,5,9.571441650390625,True,219.4285888671875,241.0,229.00003051757812,241.0
Multimedia_40.jpg,0,0,vertical,6,9.857147216796875,True,219.4285888671875,267.0,229.28573608398438,267.0
Multimedia_40.jpg,0,0,vertical,7,9.000015258789062,True,220.00001525878906,293.0,229.00003051757812,293.0
Multimedia_40.jpg,0,0,vertical,8,9.428573608398438,True,220.00001525878906,319.0,229.4285888671875,319.0
Multimedia_40.jpg,0,0,vertical,9,4.7142791748046875,False,225.4285888671875,345.0,230.1428680419922,345.0
Multimedia_40.jpg,1,1,vertical,0,15.428573608398438,False,224.4285888671875,443.0,239.85716247558594,443.0
Multimedia_40.jpg,1,1,vertical,1,5.952396211214364,True,224.0476190475747,469.3333435058594,230.00001525878906,469.3333435058594
Multimedia_40.jpg,1,1,vertical,2,5.523807344026864,False,225.0,495.6666564941406,230.52380734402686,495.6666564941406
